date,"log_change, 1D","pct_change, 1D","diff_change, 1D","classical, 11D","ewm, 11D","parkinson, 11D","garman-klass, 11D","rogers-satchell, 11D","yang-zhang, 11D","classical, 21D","ewm, 21D","parkinson, 21D","garman-klass, 21D","rogers-satchell, 21D","yang-zhang, 21D","classical, 63D","ewm, 63D","parkinson, 63D","garman-klass, 63D","rogers-satchell, 63D","yang-zhang, 63D","classical, 126D","ewm, 126D","parkinson, 126D","garman-klass, 126D","rogers-satchell, 126D","yang-zhang, 126D","classical, 252D","ewm, 252D","parkinson, 252D","garman-klass, 252D","rogers-satchell, 252D","yang-zhang, 252D"
2024-06-03 16:00:00-04:00,-0.001879262,-0.001877497,-0.529998779,0.183157529,0.181768884,0.20165315,0.198327388,0.193440146,0.23162077,0.182019349,0.184612896,0.174361459,0.177403779,0.178877476,0.214465346,0.266459664,0.219698863,0.196282511,0.193878412,0.192094833,0.244625067,0.231798108,0.229086448,0.175450984,0.172075467,0.168617607,0.216697936,0.213581142,0.233665489,0.170142389,0.170960904,0.169383273,0.21740118
2024-06-04 16:00:00-04:00,0.022113104,0.022359411,6.299987793,0.229075774,0.252126096,0.198087751,0.19128504,0.181970725,0.226810273,0.196191368,0.220412601,0.183820897,0.184320019,0.184043475,0.219418792,0.270462906,0.228012043,0.196929465,0.19344061,0.191272473,0.244581471,0.233066763,0.232379793,0.176777335,0.173216834,0.16957557,0.217547432,0.213785187,0.235010462,0.170751006,0.171427546,0.169750523,0.217603737
2024-06-05 16:00:00-04:00,0.010223172,0.010275607,2.959991455,0.233813747,0.245150389,0.195835578,0.187120132,0.177643595,0.224289621,0.198028341,0.219976926,0.184775943,0.184608429,0.184010744,0.21934795,0.27041857,0.227443578,0.197014904,0.193217438,0.191017118,0.243990604,0.233567024,0.231797187,0.176827019,0.173115012,0.16941355,0.217178535,0.21286394,0.234597767,0.170632008,0.171170388,0.169479363,0.216611448
2024-06-06 16:00:00-04:00,0.002471006,0.002474061,0.720001221,0.23570563,0.224893448,0.194492361,0.187614962,0.179747751,0.225043105,0.188792249,0.210979385,0.183714182,0.184095475,0.183985589,0.217911882,0.267698767,0.224312588,0.197115867,0.193483512,0.191460447,0.243327762,0.233619062,0.230115264,0.176789243,0.173082457,0.169465996,0.217079474,0.212548057,0.233712741,0.17011815,0.170779031,0.169218754,0.216299048
2024-06-07 16:00:00-04:00,-0.011514577,-0.011448538,-3.339996338,0.224175578,0.216343362,0.19327678,0.185778222,0.177586604,0.222119481,0.18905884,0.206054463,0.184285968,0.183958411,0.183244395,0.217140042,0.265477936,0.222209545,0.195299306,0.192470123,0.190893261,0.242594429,0.2340867,0.229132624,0.176754171,0.172897026,0.169195612,0.216778504,0.21262109,0.233282698,0.170027887,0.170558149,0.168938687,0.21608191
2024-06-10 16:00:00-04:00,0.007014174,0.007038831,2.029998779,0.232334799,0.205862374,0.18702157,0.178556928,0.17052547,0.212032928,0.185731468,0.201793222,0.18250271,0.180068862,0.177814504,0.206255777,0.26578632,0.22039594,0.193912114,0.190102439,0.187422953,0.239802617,0.234370372,0.227994865,0.176957949,0.172979183,0.169199988,0.216855107,0.212417075,0.232620104,0.16999299,0.170532248,0.168914657,0.21607529
2024-06-11 16:00:00-04:00,0.012965233,0.013049646,3.790008545,0.237791186,0.206396113,0.182730353,0.176847731,0.1707323,0.21030016,0.193367594,0.204639948,0.185446962,0.182073522,0.179344633,0.208202062,0.263844159,0.221131658,0.193758593,0.189940397,0.187256018,0.239448426,0.234979691,0.228049744,0.177508765,0.173410893,0.169590333,0.217232896,0.212771781,0.232502791,0.170145078,0.170521462,0.168865248,0.216009308
2024-06-12 16:00:00-04:00,-0.029280444,-0.028855925,-8.489990234,0.269201665,0.268298292,0.197413901,0.188635804,0.181619437,0.222827188,0.214019643,0.236803701,0.195275593,0.19086286,0.187682969,0.217076493,0.268638753,0.230548301,0.196787159,0.192556803,0.189701296,0.241975083,0.237233004,0.23289252,0.178426951,0.17476002,0.171152142,0.218398637,0.214562959,0.235069655,0.170895733,0.171244772,0.169586961,0.216739791
2024-06-13 16:00:00-04:00,-0.012006142,-0.011934356,-3.410003662,0.268030544,0.250378944,0.205225204,0.191936323,0.183325355,0.223209799,0.215879339,0.229512818,0.198529058,0.191721256,0.186775507,0.217972773,0.268990448,0.228352819,0.198655514,0.194010531,0.19094244,0.243153972,0.237636794,0.231923354,0.179726876,0.175855526,0.17212935,0.219461464,0.2145409,0.234663847,0.171437264,0.171597583,0.169871172,0.216794593
2024-06-14 16:00:00-04:00,0.015430017,0.015549674,4.389984131,0.239010132,0.261434413,0.205556009,0.1918625,0.183159435,0.214990104,0.224161747,0.236937106,0.197922247,0.188202262,0.180116943,0.213320318,0.271736427,0.230608952,0.198606337,0.193526779,0.190266225,0.237693763,0.238810253,0.232686583,0.180210349,0.175777747,0.171729902,0.219494299,0.215122364,0.234871283,0.171675556,0.171546616,0.169705478,0.216782774
