date,"log_change, 1D","pct_change, 1D","diff_change, 1D","classical, 11D","ewm, 11D","parkinson, 11D","garman-klass, 11D","rogers-satchell, 11D","yang-zhang, 11D","classical, 21D","ewm, 21D","parkinson, 21D","garman-klass, 21D","rogers-satchell, 21D","yang-zhang, 21D","classical, 63D","ewm, 63D","parkinson, 63D","garman-klass, 63D","rogers-satchell, 63D","yang-zhang, 63D","classical, 126D","ewm, 126D","parkinson, 126D","garman-klass, 126D","rogers-satchell, 126D","yang-zhang, 126D","classical, 252D","ewm, 252D","parkinson, 252D","garman-klass, 252D","rogers-satchell, 252D","yang-zhang, 252D"
2024-06-18 16:00:00-04:00,0.009852343,0.009901037,1.680007935,0.174346261,0.170787051,0.185428765,0.187668771,0.181974494,0.183535665,0.212805597,0.190798493,0.188560733,0.188882716,0.184626193,0.19376425,0.22371313,0.203756238,0.196603911,0.191731177,0.189287336,0.204193629,0.189091968,0.197869249,0.18161524,0.180974299,0.179554513,0.192401849,0.183102637,0.195220321,0.175841867,0.179791971,0.182870991,0.197847112
2024-06-20 16:00:00-04:00,0.004483423,0.004493489,0.770004272,0.171561096,0.155916287,0.183404945,0.187641348,0.182958347,0.184105784,0.207960468,0.181983578,0.189901854,0.191298415,0.187357721,0.195386315,0.220757258,0.200757071,0.196148435,0.192070732,0.189919845,0.204341497,0.189018957,0.196439485,0.181568215,0.180859509,0.179433908,0.192055362,0.183003006,0.194519286,0.175830349,0.179772922,0.182828912,0.197474485
2024-06-21 16:00:00-04:00,-0.01016011,-0.01010867,-1.740005493,0.167340456,0.169647053,0.179724188,0.184038344,0.17999201,0.182266646,0.208112237,0.184968409,0.189875942,0.191742354,0.188131093,0.195312715,0.22114733,0.200150929,0.197137791,0.192805136,0.190443273,0.204965917,0.18968399,0.196113695,0.181975756,0.181039943,0.179524272,0.192313023,0.183170049,0.194357818,0.175801426,0.179539426,0.182389954,0.197040487
2024-06-24 16:00:00-04:00,0.013697682,0.013791925,2.350006104,0.156530639,0.170409521,0.168053915,0.174576361,0.171427206,0.173844745,0.194389544,0.184242534,0.189334848,0.191741355,0.18837874,0.193283984,0.22267109,0.200178877,0.197480511,0.19312829,0.190730419,0.205360076,0.189548944,0.196263937,0.181862837,0.181178708,0.179756591,0.192428728,0.18358411,0.194456336,0.175834769,0.179494213,0.182277657,0.197009943
2024-06-25 16:00:00-04:00,-0.011587107,-0.011520235,-1.990005493,0.168747231,0.183662224,0.168926359,0.174327687,0.172197918,0.176214245,0.197123229,0.189017453,0.189987449,0.192170833,0.189256376,0.194315685,0.223790135,0.200282692,0.198308752,0.194082007,0.191866732,0.206440891,0.190282339,0.196285036,0.182159366,0.181485976,0.180140637,0.192859934,0.183630177,0.194466787,0.175607338,0.179228432,0.181999278,0.196816254
2024-06-26 16:00:00-04:00,0.002339831,0.00234257,0.399993896,0.16665077,0.167736035,0.164917652,0.170191478,0.16842019,0.172659153,0.192951037,0.180229058,0.189178825,0.191577471,0.189358221,0.193890483,0.223702227,0.197167614,0.198689573,0.194520638,0.19246596,0.206944181,0.18920679,0.194760106,0.182018805,0.181480442,0.18028521,0.192878067,0.183448593,0.193710862,0.17543533,0.179051936,0.181773295,0.196636611
2024-06-27 16:00:00-04:00,-0.012700755,-0.012620441,-2.159988403,0.158193452,0.177164778,0.168423944,0.176021765,0.175729079,0.17827815,0.194697705,0.18509958,0.192187142,0.19401018,0.190575171,0.195238242,0.224533195,0.197761149,0.200163,0.195920937,0.193757518,0.208078061,0.190142727,0.195052003,0.182906574,0.182339008,0.1810974,0.193544497,0.183015429,0.193862888,0.175633388,0.179437089,0.182231862,0.196955208
2024-06-28 16:00:00-04:00,0.014860329,0.014971292,2.529998779,0.161271607,0.188459147,0.163980218,0.171004007,0.171243726,0.175665657,0.196131205,0.188544229,0.191745494,0.192443888,0.188831262,0.194532034,0.225763913,0.198685407,0.200675748,0.196475461,0.194301742,0.208780316,0.191168883,0.195588952,0.18329771,0.182774067,0.18153622,0.193988941,0.183521028,0.194140107,0.175617076,0.179328998,0.182043554,0.196903106
2024-07-01 16:00:00-04:00,-0.006727389,-0.006704811,-1.150009155,0.167770206,0.180112948,0.176310723,0.18685265,0.189659804,0.19196959,0.199256588,0.184305451,0.195111077,0.198089216,0.195908096,0.200719091,0.225689682,0.196733948,0.202186596,0.198651597,0.196694055,0.210687336,0.191461706,0.194609587,0.18445403,0.184343316,0.183388215,0.195491716,0.183641417,0.193653491,0.176088638,0.179984125,0.182822126,0.197522544
2024-07-02 16:00:00-04:00,-0.026225678,-0.025884772,-4.409988403,0.205879652,0.233232516,0.176047923,0.184251108,0.186696492,0.197497705,0.200427298,0.217475594,0.185915378,0.19252928,0.192495516,0.199588769,0.231347317,0.207692594,0.202777746,0.198699001,0.196508869,0.211208737,0.195268076,0.200292675,0.185109358,0.184735931,0.183654421,0.196475751,0.185387384,0.196562214,0.175903946,0.179554633,0.182340257,0.197506114
